row_id,user_id,category_id,video_id,age,views,engagement_score,gender_Male,profession_Student,profession_Working Professional
1,19990,37,128,24,1000,4.33,1,1,0
2,5304,32,132,14,714,1.79,0,1,0
3,1840,12,24,19,138,4.3500000000000005,1,1,0
4,12597,23,112,19,613,3.77,1,1,0
5,13626,23,112,27,613,3.13,1,0,1
6,9323,25,139,35,317,3.33,1,0,0
7,2071,7,14,23,467,3.8,1,1,0
8,21848,8,100,18,628,3.87,1,1,0
9,12896,3,4,15,621,2.88,1,1,0
10,16058,5,161,19,229,3.8,1,1,0
11,15545,12,88,18,138,3.73,0,1,0
12,23887,28,75,30,414,3.13,1,0,1
13,7626,5,72,36,229,0.0,0,0,1
14,17094,20,48,29,892,3.61,1,0,1
15,13839,36,107,35,178,4.2,1,0,0
16,5535,25,103,16,317,4.3100000000000005,1,1,0
17,15853,24,60,24,617,4.16,1,1,0
18,10005,8,74,18,628,3.77,1,1,0
19,3908,30,83,33,862,3.43,0,0,0
20,6622,5,87,17,229,4.96,1,1,0
21,3092,8,16,40,628,2.89,1,0,0
22,5795,31,151,25,156,3.69,0,0,0
24,3450,1,15,34,990,2.06,0,0,1
25,25800,5,72,17,229,1.79,0,1,0
26,17368,25,102,30,317,3.65,1,0,1
27,24511,21,129,13,909,4.01,1,1,0
28,26261,25,102,13,317,4.37,1,1,0
29,20162,1,15,24,990,4.66,1,1,0
30,11532,5,119,30,229,3.4,0,0,0
31,388,7,13,39,467,2.6500000000000004,1,0,1
32,9823,21,51,25,909,3.63,1,0,1
33,13211,10,38,22,44,4.96,0,1,0
34,22287,16,35,29,462,3.81,0,0,0
35,2878,11,22,18,180,4.3500000000000005,1,1,0
36,23425,28,76,18,414,2.48,1,1,0
37,26238,19,45,14,369,4.11,1,1,0
38,22904,39,116,11,89,4.04,1,1,0
39,24774,5,109,33,229,4.5,1,0,0
40,11972,8,146,12,628,3.93,1,1,0
41,2959,8,100,39,628,3.47,1,0,0
42,26687,1,1,25,990,3.99,1,0,0
43,17233,8,67,18,628,3.77,1,1,0
44,4521,15,32,40,662,3.3,1,0,0
45,15562,23,53,44,613,4.18,0,0,1
46,27325,25,102,19,317,4.1400000000000015,1,1,0
47,19335,43,148,30,617,3.71,1,0,1
48,6496,25,140,37,317,3.87,1,0,0
49,19170,26,63,28,568,4.26,1,0,0
50,12879,34,115,17,840,2.48,0,1,0
51,2467,37,108,42,1000,1.96,0,0,1
52,21637,15,113,16,662,4.65,1,1,0
53,5552,32,92,17,714,4.2700000000000005,1,1,0
54,8595,15,33,43,662,1.84,1,0,1
55,18705,39,117,17,89,4.3500000000000005,1,1,0
56,22569,34,114,29,840,2.24,0,0,1
57,9240,21,50,24,909,1.95,0,0,0
58,11985,8,146,17,628,4.96,1,1,0
59,17513,39,117,31,89,3.67,1,0,1
60,18982,8,67,21,628,4.1400000000000015,1,1,0
61,11391,23,53,21,613,4.51,1,0,0
62,19986,8,17,34,628,2.59,0,0,1
63,21891,4,6,28,781,1.95,0,0,0
64,26939,25,102,41,317,4.28,1,0,0
65,7248,5,120,31,229,3.59,1,0,1
66,21159,21,50,15,909,3.11,0,1,0
67,2673,13,49,29,628,2.3,0,0,0
68,20124,10,20,30,44,3.37,1,0,0
69,16497,26,63,26,568,3.53,1,0,0
70,7464,8,74,19,628,4.3100000000000005,1,1,0
71,5567,42,136,19,689,2.6,0,1,0
72,16723,31,86,31,156,3.47,0,0,1
73,19687,18,58,36,444,3.3,1,0,0
74,17826,44,165,23,636,2.3,0,0,0
75,3312,1,15,42,990,2.64,1,0,0
76,6031,18,59,42,444,3.33,1,0,0
77,20416,16,97,17,462,4.66,1,1,0
78,5577,19,46,37,369,3.83,1,0,0
79,17605,25,62,11,317,3.66,0,1,0
80,15017,21,104,25,909,2.6,0,1,0
81,27110,28,76,17,414,2.48,0,1,0
82,7463,13,26,24,628,1.39,0,0,0
83,6948,5,71,27,229,4.11,0,1,0
84,5610,13,29,25,628,2.7,0,1,0
85,16757,21,123,19,909,4.3100000000000005,1,1,0
86,19441,45,167,18,95,2.7,1,1,0
87,18589,36,107,35,178,3.67,1,0,1
88,17490,5,163,24,229,4.22,1,0,0
89,10017,8,125,38,628,2.48,0,0,0
90,18512,32,145,45,714,3.99,0,0,1
91,23907,29,81,25,52,3.5,1,0,0
92,9958,32,132,19,714,2.06,0,0,1
93,21897,19,46,19,369,3.83,0,1,0
94,26633,27,65,29,309,3.71,1,0,0
95,6767,12,162,24,138,3.93,1,1,0
96,1967,9,18,27,819,4.53,1,0,0
97,9311,19,1,26,369,3.04,0,0,0
98,26325,8,146,19,628,4.21,1,1,0
99,26763,11,77,18,180,1.5,0,1,0
100,19440,15,33,26,662,3.3,0,0,0
101,8779,18,58,24,444,3.0,0,0,0
102,24515,17,36,32,884,3.16,1,0,1
103,16592,26,63,15,568,4.48,0,1,0
104,360,12,25,23,138,3.8,0,1,0
105,6454,25,102,20,317,3.16,1,0,1
106,26944,5,9,46,229,1.79,0,0,0
107,13874,40,124,18,900,4.840000000000002,0,1,0
108,22562,10,20,38,44,3.4,1,0,0
109,10416,12,24,28,138,3.16,1,0,1
110,25563,16,98,30,462,3.4,0,0,0
111,24990,16,35,37,462,4.01,1,0,0
112,4832,14,31,15,396,1.5,1,1,0
113,3766,34,94,20,840,3.67,1,0,1
114,19178,39,117,33,89,3.43,0,0,0
115,6821,23,53,25,613,2.71,0,0,0
116,476,5,10,21,229,2.48,0,1,0
117,8891,19,46,20,369,4.09,0,1,0
118,16699,28,75,14,414,4.44,1,1,0
119,26218,34,95,42,840,1.71,0,0,1
120,3103,29,156,35,52,3.13,1,0,1
121,26673,5,68,34,229,3.99,0,0,0
122,18931,37,108,47,1000,1.55,0,0,1
123,7198,28,75,24,414,4.01,1,1,0
124,4128,11,23,35,180,2.48,0,0,0
126,72,26,63,21,568,3.77,1,1,0
127,15858,42,135,21,689,2.35,0,1,0
128,1886,31,105,29,156,3.99,1,0,0
129,6820,32,133,15,714,3.77,0,1,0
130,23928,8,67,20,628,3.34,0,1,0
131,25726,39,116,18,89,4.6000000000000005,1,1,0
132,27109,38,111,15,806,4.16,1,1,0
133,26979,10,20,27,44,4.16,0,1,0
134,14777,4,8,32,781,3.4,0,0,0
135,23785,11,77,21,180,2.24,0,0,1
136,11884,17,37,36,884,3.77,1,0,1
137,26246,30,83,26,862,0.02,0,0,0
138,2212,25,103,18,317,4.29,0,1,0
139,17665,16,34,17,462,4.37,1,1,0
140,4131,6,11,44,362,3.37,0,0,0
141,22518,16,34,24,462,3.33,1,0,0
142,26114,24,60,42,617,2.16,1,0,1
